country,city,geo_type,date,driving_waze
United States,San Francisco,city,2020-04-02,-75.0
United States,San Francisco,city,2020-04-03,-75.0
United States,San Francisco,city,2020-04-04,-76.0
United States,San Francisco,city,2020-04-05,-80.0
United States,San Francisco,city,2020-04-06,-72.0
United States,San Francisco,city,2020-04-07,-74.0
United States,San Francisco,city,2020-04-08,-77.0
United States,San Francisco,city,2020-04-09,-75.0
United States,San Francisco,city,2020-04-10,-75.0
United States,San Francisco,city,2020-04-11,-76.0
United States,San Francisco,city,2020-04-12,-77.0
United States,San Francisco,city,2020-04-13,-71.0
United States,San Francisco,city,2020-04-14,-76.0
United States,San Francisco,city,2020-04-15,-75.0
United States,San Francisco,city,2020-04-16,-73.0
United States,San Francisco,city,2020-04-17,-75.0
United States,San Francisco,city,2020-04-18,-75.0
United States,San Francisco,city,2020-04-19,-74.0
United States,San Francisco,city,2020-04-20,-72.0
United States,San Francisco,city,2020-04-21,-74.0
United States,San Francisco,city,2020-04-22,-72.0
United States,San Francisco,city,2020-04-23,-73.0
United States,San Francisco,city,2020-04-24,-69.0
United States,San Francisco,city,2020-04-25,-72.0
United States,San Francisco,city,2020-04-26,-72.0
United States,San Francisco,city,2020-04-27,-68.0
United States,San Francisco,city,2020-04-28,-71.0
United States,San Francisco,city,2020-04-29,-67.0
United States,San Francisco,city,2020-04-30,-67.0
United States,San Francisco,city,2020-05-01,-68.0
United States,San Francisco,city,2020-05-02,-70.0
United States,San Francisco,city,2020-05-03,-71.0
United States,San Francisco,city,2020-05-04,-69.0
United States,San Francisco,city,2020-05-05,-69.0
United States,San Francisco,city,2020-05-06,-67.0
United States,San Francisco,city,2020-05-07,-69.0
United States,San Francisco,city,2020-05-08,-68.0
United States,San Francisco,city,2020-05-09,-70.0
United States,San Francisco,city,2020-05-10,-69.0
United States,San Francisco,city,2020-05-11,-60.0
United States,San Francisco,city,2020-05-12,-70.0
United States,San Francisco,city,2020-05-13,-67.0
United States,San Francisco,city,2020-05-14,-67.0
United States,San Francisco,city,2020-05-15,-66.0
United States,San Francisco,city,2020-05-16,-64.0
United States,San Francisco,city,2020-05-17,-64.0
United States,San Francisco,city,2020-05-18,-62.0
United States,San Francisco,city,2020-05-19,-68.0
